# units: Q[W/m^3], h[W/(m^2*K)], T_inf[K], P[MPa], y[K]
Q,h,T_inf,P,y_obs
66816.37945347762,46.74224993763955,289.3192312241656,9.958645516929854,312.2410715868642
93229.55703116136,20.67057835247885,295.54137084829415,3.5029121532000858,326.84769113174144
35176.33882883469,49.045939188790776,275.7207876912545,4.99408541936488,308.3646703868652
72060.34002079151,12.753849492373979,302.97340791384534,0.8315021861599494,350.4821937096901
34131.38161903216,33.88576488911221,308.29217331898974,2.5849634031562436,311.9291182160443
29605.556691366055,37.42841732477068,315.10362550765393,2.099377996582351,312.11629114812797
46362.58999064973,10.10808879623182,289.10855708215917,4.382207194852546,312.00591027541753
39720.2224732185,8.901097291507618,280.15655125807655,6.758853232959458,309.6388633492285
96639.20713010342,47.870258988117016,320.36738133374035,2.1669868486965425,337.35635198280363
68391.08971510839,16.538275068939797,320.0187224950777,1.6582431220432392,329.6906672572536
25736.2514383448,47.337149302165095,283.87643710476954,5.81131854312557,302.5416282492321
52724.54435717191,31.871778853985653,301.45074217096095,8.170640212612849,310.74577058423387
78943.98304687913,15.702538553951022,285.96413686361234,4.4905210972018805,320.1570007799622
13862.749926873395,45.44702003954135,285.04062560183485,8.32466567157459,299.70601822590356
85101.95939059627,20.267606929760536,287.4379825898312,6.960658708673183,314.87621024567085
60713.30181988756,31.270888332580313,317.209166607917,0.9480835768401032,324.33105072587426
32594.353082455993,41.765196382729094,304.9221449457571,4.702199366018959,298.9733958824757
67166.542068173,11.928985406304477,303.5847511585759,4.633404570767574,328.60922856671596
30923.6848771625,19.36493319906178,299.0575574187794,5.109701355367496,305.84656309255337
82026.8349445304,9.505883663481885,300.69406272071996,1.2614558924191712,347.3083466922277
45298.6954360039,27.528136437085806,297.88361741748685,5.397267340916725,309.31482801757346
15268.802225397194,44.24871410910193,279.58637007524004,2.669563766318727,295.16055698940994
99460.54315556727,39.824076113728516,286.95980407134715,3.9218160763613996,325.05578776724263
85805.82816703782,35.63590997222567,318.09608977026875,1.8958746566316864,325.74672784489115
98178.60534348787,3.446142692799698,305.4692921344918,8.633108018868803,329.7831141501228
76438.64292739888,37.78113789743199,281.3438031305717,7.649864943567644,316.23204331465723
27176.033986178736,34.85186055328287,274.82677059304393,9.300122978825627,296.4614582749185
98934.59203678094,28.805862848709623,315.8009852838928,4.3584568269720805,332.00726497659304
14569.249993006662,5.48819772063536,282.1284430114758,1.3736797073857323,300.27406759617423
75122.42112424703,8.368839072122558,307.4520615787344,5.490551212924709,327.81297886748473
13128.101135778397,30.134153383001994,314.25188656872007,2.983998227800539,302.39866742127936
42312.56417444438,27.96880291588424,303.37120056194516,9.604225064326277,304.4855668741673
51723.544914853526,32.69121438255422,296.89780824016293,7.142126393351094,302.392760648226
96125.79492703968,7.228985003798747,292.791924728859,8.483973883630732,324.1784003763802
65662.06703850132,23.925844403741767,294.14595263065036,0.5149959301610065,341.98548299135956
81562.23505637897,25.977686795156472,310.64638636159395,3.3066134136487513,331.8100772834631
